City,State,Locations,OTHER_TYPE
Boone,North Carolina,"[5826182]","[12698766]"
Fort Payne,Alabama,"[5826081]","[12698864]"
Pasadena,California,"[12730174,15593643]","[12699981]"
Fullerton,California,"[1747590]","[12702360]"
Bowling Green,Kentucky,"[1747707]","[12702669]"
Spartanburg,South Carolina,"[12728531]","[12699576]"
Selma,Alabama,"[5826076]","[12699493]"
Onalaska,Wisconsin,"[5825977]","[12703876]"
Thibodaux,Louisiana,"[5826019]","[12704316]"
Massena,New York,"[1747650]","[12703958]"
Sheridan,Wyoming,"[5825995]","[12703059]"
Delano,California,"[5826022]","[12700270]"
Whittier,California,"[15058820]","[12701910]"
Ludington,Michigan,"[5826151]","[12704774]"
Gainesville,Georgia,"[12981475]","[12700939]"
Hickory,North Carolina,"[5825962]","[12701686]"
Mankato,Minnesota,"[5826023]","[12704282]"
Florissant,Missouri,"[5826091]","[12705015]"
Plymouth,Wisconsin,"[1747627]","[12699982]"
Oviedo,Florida,"[15058093]","[12702462]"
Hoover,Alabama,"[5826146]","[13139227]"
Durango,Colorado,"[5826003]","[12704674]"
Anderson,South Carolina,"[11948064]","[12701083]"
